word,frequency
business,584
data,403
analyst,259
solutions,138
bi,127
global,124
analysis,85
it,84
technology,82
support,77
management,77
analytics,77
power,77
project,74
ai,71
reporting,71
from,69
teams,68
stakeholders,67
intelligence,67
do,66
have,65
world,65
key,64
join,63
platform,63
insights,61
location,58
functional,56
processes,55
design,55
customer,54
technical,53
drive,52
development,50
develop,50
lead,49
services,49
dashboards,49
scale,49
seeking,48
sql,47
end,47
needs,46
help,46
industry,45
digital,45
systems,45
not,44
delivery,43
product,43
re,41
directly,41
please,41
ensure,40
responsible,40
analytical,40
best,40
contact,40
process,39
position,39
reports,39
time,38
largest,38
inclusive,38
clients,37
member,37
analyze,36
through,36
innovation,36
leading,36
community,36
operations,35
senior,35
us,35
quality,35
expertise,34
engineering,34
collaborate,34
summary,34
complex,34
employer,34
mygwork,34
lgbtq,34
recruiter,34
domain,33
ideal,33
title,33
cloud,33
people,32
build,32
amazon,32
closely,31
driven,31
working,31
maintain,31
what,31
how,31
transform,31
india,30
user,30
genpact,30
actionable,29
between,29
models,29
advanced,29
real,29
software,28
full,28
analysts,28
enterprise,28
can,28
requirement,28
who,28
tools,28
visualization,28
making,27
gather,26
overview,26
finance,26
market,26
understand,26
new,26
customers,25
manager,25
projects,25
businesses,25
high,25
provide,25
create,25
developing,25
decisions,25
make,25
transforming,25
all,24
document,24
documentation,24
required,24
strategic,24
communication,24
innovative,24
testing,23
part,23
building,23
decision,23
identify,23
more,23
gathering,23
large,23
just,23
