word,frequency
design,596
designer,301
creative,241
graphic,213
user,204
motion,188
digital,185
create,169
product,161
ui,160
ux,152
media,150
content,140
visual,136
brand,128
graphics,128
marketing,127
have,125
social,125
video,121
who,95
location,87
designs,84
high,84
key,84
experiences,84
engaging,80
products,78
from,75
ideal,74
re,73
creating,70
adobe,69
time,67
join,66
platforms,66
quality,66
india,63
web,63
through,62
ideas,60
brands,60
senior,58
videos,57
mobile,57
designers,56
solutions,55
full,55
based,53
portfolio,53
can,53
lead,52
business,52
designing,50
detail,49
campaigns,49
clients,47
end,47
projects,47
research,46
working,46
communication,46
responsible,46
photoshop,45
ll,44
visually,43
branding,43
ai,42
editor,42
oriented,41
seeking,41
talented,41
teams,41
tools,41
understand,40
leading,40
industry,39
storytelling,39
agency,39
collaborate,39
closely,39
building,39
animation,39
compelling,38
creatives,38
one,38
do,37
customer,37
expertise,37
mumbai,37
illustrator,36
platform,36
overview,36
technology,36
help,36
interaction,36
what,35
experienced,34
passionate,34
develop,33
development,33
assets,33
more,33
intuitive,33
concepts,32
print,32
us,32
it,32
while,31
like,31
position,31
type,31
other,31
figma,31
new,30
global,30
highly,30
editing,29
needs,29
life,29
all,29
how,28
growing,28
required,28
deliver,28
animations,28
interfaces,28
wireframes,28
has,27
make,27
bring,27
client,27
over,27
visuals,27
data,27
up,27
build,27
driven,26
innovative,26
both,26
if,26
strategy,26
app,26
software,26
impactful,25
site,25
creativity,25
ensure,25
someone,25
use,24
