id,skill,category,source,enabled,synonyms,skill_type
T001,Python,Technical,from_frequency_data,TRUE,,Language
T002,SQL,Technical,from_frequency_data,TRUE,,Language
T003,AWS,Technical,from_frequency_data,TRUE,Amazon Web Services,Tool
T004,Azure,Technical,from_frequency_data,TRUE,Microsoft Azure,Tool
T005,Django,Technical,from_frequency_data,TRUE,,Framework
T006,Flask,Technical,from_frequency_data,TRUE,,Framework
T007,Excel,Technical,from_frequency_data,TRUE,MS Excel;Microsoft Excel,Tool
T008,Power BI,Technical,manually_added,TRUE,PowerBI;Power-BI,Tool
T009,Docker,Technical,manually_added,TRUE,,Tool
T010,Git,Technical,manually_added,TRUE,GitHub;Version Control,Tool
T011,Kubernetes,Technical,manually_added,TRUE,K8s,Tool
T012,Tableau,Technical,manually_added,TRUE,,Tool
T013,TensorFlow,Technical,manually_added,TRUE,Tensor Flow,Framework
T014,PyTorch,Technical,manually_added,TRUE,Py Torch,Framework
T015,Scikit-learn,Technical,manually_added,TRUE,sklearn;Scikit Learn,Framework
T016,Java,Technical,manually_added,TRUE,,Language
T017,JavaScript,Technical,manually_added,TRUE,JS,Language
T018,React,Technical,manually_added,TRUE,React.js;ReactJS,Framework
T019,Node.js,Technical,manually_added,TRUE,NodeJS;Node JS,Framework
T020,Next.js,Technical,manually_added,TRUE,NextJS,Framework
T021,Vue.js,Technical,manually_added,TRUE,VueJS;Vue,Framework
T022,Express.js,Technical,manually_added,TRUE,ExpressJS;Express,Framework
T023,C++,Technical,manually_added,TRUE,CPP,Language
T024,C#,Technical,manually_added,TRUE,C Sharp,Language
T025,.NET,Technical,manually_added,TRUE,DotNet;Dot Net,Framework
T026,ASP.NET,Technical,manually_added,TRUE,ASP Net,Framework
T027,MongoDB,Technical,manually_added,TRUE,Mongo DB,Tool
T028,PostgreSQL,Technical,manually_added,TRUE,Postgres,Tool
T029,API,Technical,from_frequency_data,TRUE,APIs;REST API,Knowledge Area
T030,Cloud Computing,Technical,from_frequency_data,TRUE,Cloud,Knowledge Area
T031,Backend Development,Technical,from_frequency_data,TRUE,Backend,Knowledge Area
T032,Web Development,Technical,manually_added,TRUE,,Knowledge Area
T033,Automation,Technical,from_frequency_data,TRUE,,Knowledge Area
T034,Software Testing,Technical,from_frequency_data,TRUE,Testing;QA,Knowledge Area
T035,Programming,Technical,from_frequency_data,TRUE,Coding,Knowledge Area
T036,Spark,Technical,manually_added,TRUE,Apache Spark,Framework
T037,Hadoop,Technical,manually_added,FALSE,,Tool
D001,Machine Learning,Domain,manually_added,TRUE,ML,Knowledge Area
D002,Deep Learning,Domain,manually_added,TRUE,DL,Knowledge Area
D003,Data Science,Domain,from_frequency_data,TRUE,Data Scientist;Data Scientists,Broad Domain
